Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,4.15136612021858,dry year
1899,242,197,14,49,NA,NA,NA,0,0.12867647058823528,0.47258064516129034,23,1620,174,82,2.9,18,92,NA,134.5,NA,NA,29,NA,2800,205,1652,NA,2,NA,59.24767123287662,wet year
1900,260,181,13,49,1,260,52,246,0.10362919132149902,0.1440677966101695,21,169,160,86,23,58,74,NA,52,95,NA,17,1,2800,205,1652,NA,3,1,60.848493150684725,wet year
1901,322,174,9.5,40,2,6980,52,6966.5,0.10666666666666667,0.17692307692307693,28,306,146,70,27,135,76,52,73.5,52,1,28,1,2800,205,1652,1,6,1,86.17945205479481,wet year
1902,253,184,1.2,40,3,67,67,57.5,0.09339930626402776,0.3006535947712418,24,306,160,29,67,191.5,131,NA,151,NA,NA,16,NA,2800,205,1652,NA,2,NA,41.108219178082166,mod year
1903,288,203,11,22.19999999999999,2,67,50,65.7,0.10949248120300752,0.6618055555555555,21,3320,182,110,23,58,72,182,121,182,1,24,1,2800,205,1652,1,4,1,61.814520547945264,wet year
1904,233,223,5.5,24,1,214,45,203,0.18452662442069423,0.44533333333333336,20,375,203,77,24,116,126,NA,45,NA,NA,30,NA,2800,205,1652,NA,7,NA,55.18524590163946,wet year
1905,238,230,1.2,12,NA,NA,NA,0,0.1694915254237288,0.32706766917293234,10,367,220,129,24,58.5,91,NA,125,NA,NA,15,NA,2800,205,1652,NA,5,NA,43.779178082191876,mod year
1906,231,219,5.5,49,NA,NA,NA,0,0.14829315200219795,0.6403225806451613,36,1860,183,80,12,165,103,106,105,144,1,42,3,2800,205,1652,1,5,2,98.14219178082182,wet year
1907,241,212,3,41.80000000000001,2,1490,73,1484.5,0.11695906432748537,0.6133333333333333,37,4390,175,90,151,259,85,175,72,173,2,65,3,2800,205,1652,1,5,2,148.50602739726034,wet year
1908,658,171,5.5,30,2,89,72,86,0.12028595789335608,0.1608695652173913,17,312,154,66,34.400000000000006,99,88,NA,99.5,NA,NA,14,NA,2800,205,1652,NA,6,NA,38.90739726027406,mod year
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,7.238888888888889,dry year
1911,281,201,8.5,36,NA,NA,NA,0,0.09686266639909025,0.5415584415584416,43,3830,158,59,102.89999999999999,266,99,158,104,132,2,46,4,2800,205,1652,1,5,2,125.87561643835636,wet year
1912,269,202,2.3,11,NA,NA,NA,0,0.125,0.44871794871794873,7,210,195,78,12,18,117,NA,138,NA,NA,10,NA,2800,205,1652,NA,4,NA,21.089890710382548,mod year
1913,264,181,1.3,5.5,NA,NA,NA,0,0.1,0.3023255813953488,5,54,176,70,6,8,106,NA,108,NA,NA,5,NA,2800,205,1652,NA,1,NA,13.086301369863,mod year
1914,288,154,0,15,NA,NA,NA,0,0.2496493688639551,0.6040816326530613,11,1640,143,63,42.30000000000001,196,80,NA,87,92,NA,37,3,2800,205,1652,NA,4,3,107.70465753424666,wet year
1915,190,247,2.7,25,2,113,72,113,0.13402061855670103,0.3534971644612476,17,529,230,153,38.6,92.5,77,NA,79,128.5,NA,47,3,2800,205,1652,NA,9,2,109.38958904109548,wet year
1916,319,139,12,20,2,63,65,60.3,0.23180592991913745,0.9365079365079365,11,1970,128,56,7.5,285,72,NA,85,111.5,NA,40,3,2800,205,1652,NA,2,2,96.1377049180325,wet year
1917,357,282,4,85,NA,NA,NA,3,0.2619047619047619,0.2619047619047619,2,84,280,187,6,14,93,148,120,146.5,1,9,2,2800,205,1652,1,2,2,55.191506849315054,wet year
1918,359,34,4,48,NA,NA,NA,24,0.5666666666666667,0.7586206896551724,4,79,30,-244,0,2.3,274,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,19.853972602739717,mod year
1919,431,192,29.5,60,3,232,5,228,0.09183673469387756,0.22509225092250923,27,795,165,137,0,11.5,28,NA,5,NA,NA,22,NA,2800,205,1652,NA,7,NA,66.35643835616442,wet year
1920,147,301,14,23.500000000000057,NA,NA,NA,-17,0.16666666666666666,0.48,33,57,268,10,46,57,258,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,16.754918032786875,mod year
1921,319,133,27,36,3,31,68,17,0.6975490196078431,0.9833333333333333,2,153,131,48,19.8,126,83,NA,79.5,NA,NA,16,NA,2800,205,1652,NA,6,NA,51.64986301369869,mod year
1922,189,258,29,46,NA,NA,NA,0,0.36619718309859156,0.5419354838709678,4,155,254,167,4.9399999999999995,21,87,NA,93.5,134,NA,24,1,2800,205,1652,NA,6,1,73.0745205479452,wet year
1923,641,280,52,66,2,498,75,469,0.021955440190352584,0.028985507246376812,2,69,278,196,0,25,82,NA,74,NA,NA,9,NA,2800,205,1652,NA,5,NA,44.60465753424656,mod year
1924,NA,167,NA,NA,NA,NA,NA,0,0.07886904761904762,0.36363636363636365,140,35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,19.6699453551913,mod year
1925,298,285,24,34,NA,NA,NA,0,0.36363636363636365,0.6811594202898551,3,78,282,91,18,34,191,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,17.066849315068538,mod year
1926,296,272,61,65,3,69,4,45,0.10810810810810811,0.10810810810810811,2,74,270,52,57,60,218,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,39.31068493150688,mod year
1927,290,300,57,63,NA,NA,NA,0,0.09864603481624759,0.44761904761904764,37,110,263,60,72,96,203,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,53.31424657534243,wet year
1928,326,250,41,63,NA,NA,NA,0,0.01818181818181818,0.25,10,96,240,15,91,96,225,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,45.862841530054695,mod year
1929,NA,233,0,24,NA,NA,NA,0,0.32262845849802374,0.75,7,96,226,15,46.5,87.5,211,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,26.726849315068513,mod year
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,13.788461538461533,mod year
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.059541984732824425,dry year
2003,NA,276,NA,NA,NA,NA,NA,NA,0.21428571428571436,0.375,21,0.31,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.10347945205479452,dry year
2004,244,207,0.05,0.07,NA,NA,NA,0,0.7664473684210525,0.9943661971830986,3,100,204,123,0.03,0.05,81,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,1.1205464480874334,dry year
2005,241,208,0.06,0.12,NA,NA,NA,0,0.00423728813559322,0.9989622641509434,14,243,194,108,0.08,0.14,86,NA,167.5,NA,NA,44,NA,2800,205,1652,NA,4,NA,36.883534246575316,mod year
2006,538,270,0.07,0.11,NA,NA,NA,0,0.007722122838401908,0.9981744421906693,39,313,231,147,0.07,0.1,84,NA,181,NA,NA,67,NA,2800,205,1652,NA,1,NA,62.362849315068544,wet year
2007,NA,207,NA,NA,NA,NA,NA,NA,0.20000000000000004,0.2941176470588236,58,0.17,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.04567123287671231,dry year
2008,NA,282,0.04,0.06,NA,NA,NA,0,0.016528925619834652,0.6415441176470588,45,16.6,237,159,0.06,0.08,78,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,3.346065573770493,dry year
2009,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,0,0.11,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.0637808219178082,dry year
2010,NA,227,NA,NA,NA,NA,NA,NA,0.09090909090909087,0.5,33,0.52,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.07539726027397264,dry year
2011,245,230,0.04,0.07500000000000001,NA,NA,NA,0,0.11215117711229194,0.2798833819241982,35,219,195,118,0.09,14.5,77,NA,176,NA,NA,24,NA,2800,205,1652,NA,1,NA,45.11778082191778,mod year
2012,112,330,0.62,1.2399999999999989,NA,NA,NA,0,0.023529411764705903,0.4153846153846154,32,0.85,298,188,0.03,0.58,110,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.3587704918032791,dry year
2013,491,125,0.55,0.6790000000000004,NA,NA,NA,0,0.015129573170731707,0.8641114982578397,35,205,90,13,0.76,59.349999999999994,77,NA,90,NA,NA,1,NA,2800,205,1652,NA,1,NA,13.883068493150676,mod year
2014,152,289,0.55,0.6380000000000001,NA,NA,NA,0,NA,NA,0,0.69,289,38,0.5,0.52,251,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.5567123287671233,dry year
2015,206,240,0.53,0.65,NA,NA,NA,0,NA,NA,0,0.82,240,164,0.46,0.54,76,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.5705205479452056,dry year
2016,254,187,0.76,0.956,NA,NA,NA,0,0.36780130438667025,0.8741228070175439,10,396,177,96,0.69,0.97,81,NA,168,NA,NA,13,NA,2800,205,1652,NA,1,NA,21.476502732240444,mod year
2017,319,218,0.67,0.8510000000000002,NA,NA,NA,0,0.016786570743405275,0.8909999999999999,73,875,145,69,1.348,583,76,NA,110,NA,NA,78,NA,2800,205,1652,NA,2,NA,152.65076712328786,wet year
2018,109,332,0.5,0.5850000000000004,NA,NA,NA,0,NA,NA,0,1.4,332,160,0.53,0.6,172,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,0.5779178082191782,dry year
2019,239,233,12.3,13.4,NA,NA,NA,0,0.18058747906034525,0.31802120141342755,5,28.3,228,152,0.43,13.5,76,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,12.453972602739725,dry year
2020,257,226,7.635,10.980000000000008,NA,NA,NA,0,0.007999999999999972,0.19393939393939388,38,16.5,188,81,12.5,13.95,107,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,9.451284153005464,dry year
2021,240,216,7.69,8.11,NA,NA,NA,0,0.00925925925925939,0.16976998904709753,80,11.8,136,18,11.7,11.8,118,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,8.62517808219178,dry year
2022,239,215,7.72,7.92,NA,NA,NA,0,0.22712616110857314,0.24621212121212122,2,13.2,213,122,12.9,12.9,91,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,9.25441095890411,dry year
2023,NA,192,13.2,13.2,NA,NA,NA,0,0.24892703862660948,0.33220338983050846,11,421,181,92,12.2,174,89,NA,100,NA,NA,40,NA,2800,205,1652,NA,6,NA,86.57816438356171,wet year
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,205,1652,NA,NA,NA,7.6715625,dry year
